CLAVE,PRIMA VAC. EXENTA
GACA ,1009.35
RAHU ,1009.35
AUPC ,285
AUSL ,809.37
AALD ,0
AORA ,1009.35
AARB ,85
AEMF ,230.5
AAEV ,50.5
AEVR ,103.01
AVRS ,260.08
BATE ,47.51
BAMO ,85
BAAJ ,860.4
BAOD ,193.65
BARO ,300.53
BEZI ,760.36
BEPJ ,1009.35
BODE ,1009.35
CABL ,375.94
CASS ,251.15
CAUA ,164.84
CAZE ,0
CANE ,787.13
CAHF ,930.26
CAHM ,926.52
CAMG ,1009.35
CAHI ,501.66
CENM ,478.82
CARL ,287.5
CAPA ,1009.35
CARR ,889.23
COAL ,1009.35
CONM ,232.57
CUAR ,326.13
CUGI ,432.66
CUFD ,85
CUJA ,177.65
EIBN ,31.21
EUPI ,88.82
EECJ ,19.56
FAEC ,13.97
FEGG ,40.52
FOAJ ,1009.35
FOGG ,1009.35
FOLM ,0
FAJM ,177.65
GARJ ,802.33
GANO ,1009.35
GASJ ,351.61
GATF ,0
GAER ,85
GOCL ,611.26
GOMF ,701.55
GODR ,370.27
GOMM ,859.79
GOBY ,79.99
GOCA ,919.6
GOHH ,0
GOJF ,325.34
GUVJ ,556.05
GUSJ ,649.88
GUHO ,355
GUMV ,41.13
HEBB ,387.29
HECN ,146.77
HEFC ,0
HELI ,34.36
HEPG ,87.87
IAYC ,85
JATA ,95
JAMO ,1009.35
JIGM ,1009.35
JIHA ,1009.35
JILR ,781.87
JIMA ,936.09
JIMO ,991.79
JIOE ,878.4
JUPL ,795.97
JURE ,161.67
KURA ,886.3
LAMJ ,388.33
LESF ,103.55
LOHI ,120.77
LOSC ,97.87
LULA ,1009.35
MALO ,363.28
MALM ,602.08
MAGC ,505.03
MACD ,707.85
MAGE ,287.42
MAGD ,1009.35
MALR ,269.29
MAML ,349.36
MARJ ,1009.35
MARM ,1009.35
MARV ,875.46
MATG ,0
MESP ,1009.35
MELM ,1009.35
MERJ ,250
MEHF ,1009.35
MIAF ,1009.35
MOCA ,203.02
MOSI ,1009.35
MOSD ,1009.35
MOEE ,74.05
NITS ,95
OOGO ,1009.35
OISO ,168.31
PACD ,747.03
PAGB ,164.73
PAOB ,708.34
PEBJ ,436.36
PEZD ,92.65
PEGE ,457.13
PERD ,752.4
PERS ,735.13
PIGI ,1009.35
PIPL ,988.64
PAGO ,0
POMG ,275.28
RAAM ,1009.35
RALR ,85
RAPD ,85
RIGV ,798.12
RIHL ,0
RITM ,257.16
ROMB ,147.97
RORD ,32.14
RORM ,1009.35
ROSL ,1009.35
ROEA ,510.77
ROMG ,1009.35
RORV ,95
ROSO ,201.97
ROGR ,542.75
ROMC ,20.96
RUUF ,13.97
RUAM ,860.3
SAFJ ,1009.35
SALA ,131.9
SAAR ,269.3
SEPL ,313.52
SEGO ,143.69
SIGE ,261.59
SIGV ,1009.35
SOGC ,1009.35
SUJJ ,1009.35
TALJ ,1009.35
TESS ,703.1
VALO ,335.99
VAPS ,200.02
VADA ,92.65
VAGJ ,92.65
VARA ,1009.35
VESG ,771.34
VEMR ,1009.35
VEOE ,1009.35
VEPJ ,1009.35
VEPM ,306.23
VESA ,1009.35
VILM ,376.31
VIGJ ,530.18
YEMB ,216.59
ZAGB ,553.18
ZEHJ ,299.85
LOFS ,0
HEAV ,25.15
MOGC ,95
HEMD ,3.15
MEGJ ,0
ROCJ ,22.36
ROLA ,0
MAGY ,0
BALA ,85
PEFJ ,0
FOCD ,95
GOCC ,85
RARS ,95
AIMI ,0
CAMC ,0
DOCH ,85
LOMJ ,24.22
MASM ,0
RACJ ,175
REGE ,52.27
ROAM ,95
SACP ,95
ZAVL ,350
VIVA ,0
TOZB ,12.58
SOAE ,85
VIHS ,0
NIJM ,52.25
JUHO ,105.49
GOEA ,8.59
OECC ,10.59
ZEFB ,95
DAHE ,0
HERI ,0
OOCL ,0
AEIM ,13.97
NERM ,0
BEMP ,28.63
FOML ,0
GOBD ,0
AIMA ,0
GAOJ ,0
FOFA ,0
PECS ,17.18
SAGV ,0
HURM ,12.33
PAUB ,0
MAMM ,0
MAVJ ,0
TANG ,0
CAML ,0
AELO ,0
DORA ,0
EOMR ,0
EIAA ,0
GUGO ,0
MOEL ,0
SALM ,0
BACJ ,27.95
NAPL,0
GOAD ,0
RAPG ,0
MOSF ,0
GOCF ,0
REVV ,0
RARN ,0
MOTJ ,0
AERD ,0
GARM ,0
MERI ,0
OOMJ ,0
LUPJ ,0
CALU ,0
SIAR ,0.86
LOMA,0
GOVL,0
CUOM,0
GAGJ,0
CAHA,0
BAVL ,0
SAHJ ,0
AEPV ,1009.34
AOGR ,1009.35
AULF ,437.38
BORM ,702.91
CAVI ,899.28
OODE ,620.93
ESME ,1009.35
EAER ,740.74
EAMI ,274.73
FORM ,445.93
GACP ,1009.35
GASA ,1009.35
GOPC ,840.99
GUTN ,581.79
LALA ,247.55
MAPR ,1009.35
MAGA ,312.92
MOAA ,1009.35
MOPC ,1009.35
MOPE ,50.47
NAFB ,1009.35
NARH ,204.66
NOCL ,167.35
OIMJ ,1009.35
PAPE ,649.3
PEJP ,221.32
PRGC ,464.24
QUBL ,1009.35
RAGB ,187.5
ROMV ,852.78
SAMA ,908.8
SALC ,1009.35
SALR ,1009.35
SAPA ,1009.35
SASJ ,1009.35
MOSS ,484.85
SEAB ,265
SUGJ ,589.18
UISE ,530.44
VAJD ,150
VARO ,1009.35
CAGB ,0
VARG ,76.03
ZAVL ,0
NITS ,0
TUCG ,0
TOVJ ,0
LOCC ,8.22
