CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
1,5333.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.33,333.33,645.73,7.84,142.38,0,0,0
26,9333.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.87,235.63,0,0,0,0,336.45,830.21,1659.4,0,275.78,0,0,0
25,26666.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6136.26,0,734,0,0,0
9,3733.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.51,0,0,206.85,7.78,99.28,0,0,0
2,4266.72,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,200,0,0,0,0,0,266.67,266.67,575.65,0,148.39,0,0,0
3,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,0,165.52,150,150,5.11,0,61.74,0,0,0
13,2400,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,128.44,0,0,148.81,0,79.82,0,0,0
14,2400,0,0,0,0,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,0,0,0,0,150,150,1211.03,52.08,276.33,0,0,0
43,3733.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1,233.33,233.33,453.33,0,101.02,0,0,0
19,2133.28,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.5,0,142.94,0,0,0
5,2666.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.57,166.66,166.66,36.86,45.48,67.98,0,0,0
6,3066.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.75,0,0,0,0,149.25,191.67,191.67,98.45,36.74,79.26,0,0,0
44,2133.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.47,0,193.75,0,0,0,3.06,52.96,0,0,0
