CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021E,P020,P021A,P020,P021E,D002E,D012E,D001E,D004E,D006E,D005E
1,4666.62,0,333.33,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.6,3.27,133.48,0,0,0
26,8749.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.58,157.09,0,0,0,0,0,0,1340.69,0,258.55,0,0,0
25,25000.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5636.26,0,688.12,0,0,0
9,3266.62,0,233.33,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.44,0,0,145.54,0,93.07,0,0,0
2,3733.38,0,266.67,66.67,0,0,0,0,0,0,0,0,504,0,0,0,0,0,133.34,0,0,0,0,0,0,0,414.88,8.89,139.11,0,0,0
3,2100,0,150,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,-41.46,0,179.45,0,0,0,0,57.88,0,0,0
13,1600.01,0,150,37.5,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,169.53,0,0,-20.67,0,58.2,0,0,0
14,1750.01,0,150,37.5,0,0,0,0,0,0,0,0,4625,0,0,0,0,0,0,0,0,0,0,0,0,0,831.89,221.67,218.76,0,0,0
43,3266.62,0,233.33,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.44,0,0,145.54,0,94.7,0,0,0
19,1733.29,3000,133.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.71,0,125.07,650,0,0
5,2333.24,0,166.66,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.57,0,0,0.6,0,63.73,0,0,0
6,2683.38,0,191.67,47.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.84,0,0,0,0,149.25,0,0,56.74,15.97,74.31,0,0,0
44,1733.29,0,133.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.54,0,193.75,0,0,0,0,46.34,0,0,0
