CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,D002,P020,P021,D012,P021A,D001,D004,D006,D005
AEPV ,14891.70,0.00,992.78,116.56,131.63,794.22,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,3179.34,,0.00,0.00,0.00,518.46,0.00,0.00,0.00
AOGR ,9761.76,0.00,0.00,0.00,0.00,976.18,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1732.52,,0.00,0.00,0.00,324.20,0.00,0.00,0.00
AULF ,2945.56,0.00,1749.52,437.38,0.00,0.00,945.56,,12112.20,7661.00,,,0.00,,,0.00,,,0.00,0.00,,2749.75,,0.00,0.00,0.00,103.00,0.00,0.00,22998.47
BORM ,7497.76,0.00,0.00,0.00,0.00,749.78,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1199.82,,0.00,9.37,0.00,234.69,0.00,1818.51,0.00
CAVI ,7194.24,0.00,0.00,0.00,0.00,359.71,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1051.67,,0.00,14.99,0.00,222.13,0.00,975.51,0.00
OODE ,13246.56,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,2326.47,,0.00,0.00,0.00,403.52,0.00,0.00,0.00
ESME ,0.00,5325.18,822.00,205.50,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,751.18,,0.00,0.00,0.00,220.39,0.00,1547.89,0.00
EAER ,6772.48,0.00,0.00,0.00,0.00,677.25,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1029.40,,0.00,0.00,0.00,210.73,0.00,975.52,0.00
EAMI ,0.00,7012.34,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,935.98,,0.00,0.00,0.00,331.81,0.00,1535.15,0.00
FORM ,7134.88,0.00,0.00,0.00,0.00,713.49,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1114.56,,0.00,0.00,0.00,232.94,0.00,0.00,0.00
GACP ,13312.00,0.00,0.00,0.00,0.00,665.60,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,2498.40,,0.00,0.00,0.00,432.40,0.00,0.00,0.00
GASA ,15348.80,0.00,0.00,0.00,0.00,1534.88,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,3181.92,,0.00,63.95,0.00,515.98,3937.00,0.00,0.00
GOPC ,7689.12,0.00,0.00,0.00,0.00,768.91,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1244.78,,0.00,0.00,0.00,246.43,0.00,989.68,0.00
GUTN ,6981.45,0.00,465.43,116.36,0.00,744.69,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1187.86,,0.00,0.00,0.00,235.63,2065.00,0.00,0.00
LALA ,5280.96,0.00,0.00,0.00,0.00,528.10,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,678.96,,0.00,0.00,0.00,165.52,0.00,697.97,0.00
MAPR ,8308.16,0.00,0.00,0.00,0.00,830.82,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1390.23,,0.00,0.00,0.00,273.68,0.00,975.52,0.00
MAGA ,6675.68,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,864.07,,0.00,0.00,0.00,197.45,0.00,0.00,0.00
